id,skill
353,front-end
307,algorithms
37,front-end
364,front-end
18,data structures
478,front-end
9,commenting
409,front-end
245,commenting
20,testing
340,front-end
332,testing
271,front-end
416,data structures
239,commenting
210,data structures
451,OOP
36,data structures
49,testing
101,front-end
288,data structures
101,algorithms
115,front-end
449,commenting
165,front-end
32,data structures
289,data structures
421,commenting
91,data structures
477,data structures
22,front-end
288,testing
310,algorithms
255,front-end
339,algorithms
244,front-end
253,algorithms
188,front-end
177,algorithms
312,OOP
274,commenting
282,testing
399,testing
215,front-end
196,algorithms
123,commenting
363,algorithms
130,testing
246,OOP
309,OOP
245,front-end
33,testing
42,commenting
232,algorithms
447,algorithms
304,OOP
300,algorithms
59,commenting
375,front-end
445,front-end
188,algorithms
331,testing
56,testing
103,commenting
84,front-end
9,data structures
481,data structures
16,testing
448,OOP
204,data structures
313,commenting
165,algorithms
31,algorithms
306,algorithms
212,front-end
47,data structures
182,commenting
467,data structures
339,OOP
282,algorithms
176,data structures
321,testing
12,OOP
434,front-end
236,data structures
249,front-end
149,front-end
252,testing
190,commenting
235,algorithms
54,commenting
451,front-end
473,commenting
293,OOP
53,data structures
132,front-end
81,data structures
310,front-end
222,data structures
498,front-end
121,commenting
105,algorithms
487,testing
343,algorithms
115,OOP
384,testing
150,testing
311,front-end
497,front-end
130,commenting
494,commenting
335,testing
308,commenting
325,front-end
72,commenting
159,OOP
470,testing
341,front-end
285,OOP
307,testing
92,testing
329,algorithms
359,testing
33,algorithms
48,algorithms
179,data structures
148,front-end
155,testing
460,data structures
221,data structures
379,front-end
22,commenting
453,commenting
95,OOP
384,OOP
496,OOP
382,testing
371,OOP
255,algorithms
485,OOP
231,testing
471,commenting
426,commenting
374,algorithms
322,testing
104,front-end
226,data structures
440,data structures
376,front-end
194,front-end
398,commenting
112,data structures
462,OOP
18,OOP
155,front-end
27,OOP
434,algorithms
242,commenting
428,data structures
243,commenting
173,OOP
20,commenting
136,data structures
313,front-end
439,testing
427,data structures
178,testing
428,OOP
336,data structures
338,algorithms
193,algorithms
384,front-end
335,data structures
240,data structures
489,OOP
62,commenting
432,OOP
7,front-end
3,data structures
123,testing
209,data structures
93,data structures
78,commenting
240,front-end
26,data structures
5,algorithms
51,data structures
24,algorithms
270,algorithms
114,data structures
19,front-end
430,OOP
367,front-end
61,front-end
142,data structures
113,testing
458,data structures
235,OOP
316,data structures
448,data structures
435,data structures
168,commenting
143,testing
268,OOP
286,commenting
475,testing
415,algorithms
189,commenting
188,testing
499,front-end
139,commenting
207,testing
488,commenting
127,commenting
86,OOP
213,testing
480,algorithms
116,data structures
341,algorithms
183,OOP
346,front-end
230,testing
194,OOP
372,testing
139,algorithms
49,OOP
51,OOP
375,OOP
273,algorithms
124,algorithms
184,algorithms
462,data structures
239,OOP
266,data structures
87,testing
277,OOP
452,commenting
354,data structures
331,commenting
217,commenting
56,algorithms
461,OOP
36,OOP
166,OOP
424,testing
386,data structures
492,commenting
47,commenting
72,front-end
50,commenting
465,data structures
127,data structures
164,testing
69,algorithms
429,testing
289,OOP
457,data structures
394,OOP
473,data structures
197,algorithms
8,data structures
281,testing
392,OOP
179,OOP
276,OOP
287,testing
66,data structures
103,algorithms
353,data structures
120,testing
276,testing
205,front-end
312,data structures
6,OOP
349,testing
449,algorithms
190,algorithms
70,OOP
295,data structures
387,OOP
256,testing
407,commenting
219,data structures
435,OOP
353,commenting
440,OOP
166,commenting
396,data structures
225,commenting
269,testing
27,front-end
51,testing
105,data structures
253,testing
151,OOP
110,commenting
5,commenting
86,commenting
283,front-end
269,algorithms
206,commenting
236,commenting
433,algorithms
272,commenting
195,testing
19,commenting
297,OOP
454,OOP
202,data structures
110,testing
450,OOP
478,testing
244,commenting
107,data structures
388,algorithms
134,algorithms
263,testing
166,data structures
222,testing
1,front-end
397,commenting
104,algorithms
251,testing
378,testing
88,testing
71,commenting
45,testing
275,algorithms
491,front-end
90,algorithms
412,testing
446,testing
302,testing
6,commenting
35,algorithms
192,algorithms
386,testing
270,front-end
278,OOP
140,data structures
421,OOP
132,data structures
466,commenting
88,OOP
406,algorithms
234,OOP
469,OOP
157,OOP
103,data structures
402,front-end
92,commenting
205,commenting
117,testing
124,data structures
55,algorithms
267,OOP
416,testing
289,algorithms
377,algorithms
258,OOP
337,OOP
420,data structures
40,testing
87,data structures
63,data structures
441,data structures
315,front-end
198,commenting
85,commenting
15,algorithms
71,front-end
248,algorithms
407,front-end
189,OOP
160,algorithms
491,commenting
352,front-end
187,data structures
106,OOP
21,OOP
131,front-end
61,OOP
251,data structures
99,data structures
120,algorithms
278,commenting
43,testing
76,OOP
171,commenting
342,algorithms
172,data structures
324,OOP
462,testing
430,commenting
306,testing
217,testing
160,OOP
498,data structures
497,OOP
466,data structures
393,algorithms
377,OOP
106,algorithms
171,algorithms
185,algorithms
324,algorithms
446,OOP
422,commenting
99,OOP
320,testing
322,data structures
144,data structures
400,data structures
41,testing
85,algorithms
202,commenting
453,front-end
249,data structures
125,commenting
118,algorithms
208,front-end
199,testing
43,algorithms
294,front-end
177,front-end
345,commenting
41,front-end
444,OOP
126,commenting
454,commenting
142,front-end
437,data structures
298,data structures
202,front-end
275,data structures
325,OOP
228,testing
387,algorithms
22,data structures
318,OOP
471,data structures
193,commenting
81,front-end
417,front-end
153,data structures
199,commenting
153,OOP
459,testing
195,commenting
152,algorithms
83,OOP
135,commenting
200,OOP
286,data structures
241,front-end
50,front-end
246,data structures
492,testing
77,front-end
102,front-end
133,OOP
389,OOP
391,algorithms
212,commenting
420,testing
168,data structures
288,front-end
262,testing
244,data structures
238,front-end
299,algorithms
411,data structures
113,OOP
82,OOP
161,OOP
52,front-end
94,front-end
269,OOP
422,algorithms
298,commenting
57,testing
213,commenting
481,front-end
362,front-end
425,algorithms
383,commenting
431,data structures
233,data structures
201,OOP
499,algorithms
99,front-end
465,algorithms
455,data structures
156,commenting
358,commenting
311,testing
459,algorithms
138,testing
472,OOP
137,testing
95,algorithms
12,commenting
382,front-end
102,commenting
131,algorithms
415,data structures
50,algorithms
44,data structures
17,data structures
222,commenting
136,algorithms
262,OOP
336,algorithms
266,front-end
54,front-end
61,testing
230,algorithms
346,OOP
28,algorithms
177,testing
156,OOP
390,data structures
156,testing
329,data structures
474,testing
257,OOP
212,testing
53,algorithms
149,OOP
62,data structures
179,commenting
324,commenting
381,commenting
207,front-end
477,algorithms
49,algorithms
35,testing
151,algorithms
74,front-end
147,front-end
370,testing
350,front-end
158,commenting
418,OOP
170,data structures
224,data structures
391,commenting
360,data structures
291,commenting
135,data structures
248,data structures
383,testing
431,algorithms
29,algorithms
38,OOP
162,testing
118,OOP
210,front-end
224,front-end
76,data structures
137,commenting
323,algorithms
356,testing
274,OOP
65,commenting
214,data structures
307,data structures
39,front-end
214,front-end
437,OOP
229,data structures
414,commenting
402,algorithms
449,OOP
191,front-end
30,algorithms
52,algorithms
369,testing
395,algorithms
370,commenting
117,algorithms
442,data structures
126,algorithms
476,algorithms
438,testing
180,front-end
315,OOP
267,algorithms
39,testing
468,testing
484,algorithms
347,data structures
295,testing
218,algorithms
424,front-end
124,OOP
58,commenting
260,data structures
387,data structures
28,testing
34,algorithms
219,commenting
37,OOP
458,front-end
290,testing
413,commenting
381,OOP
56,OOP
436,front-end
230,data structures
107,OOP
484,data structures
9,front-end
10,front-end
500,data structures
119,front-end
213,OOP
234,algorithms
427,testing
261,front-end
197,OOP
474,front-end
403,front-end
227,testing
271,commenting
120,commenting
186,testing
483,front-end
60,data structures
348,testing
301,commenting
470,OOP
279,commenting
232,front-end
268,front-end
392,commenting
209,front-end
321,OOP
243,data structures
433,OOP
358,front-end
417,commenting
385,OOP
42,testing
390,commenting
219,front-end
29,commenting
431,testing
383,front-end
292,commenting
374,data structures
84,algorithms
258,algorithms
14,testing
317,testing
302,algorithms
192,testing
168,algorithms
198,algorithms
122,algorithms
362,algorithms
218,data structures
395,data structures
438,commenting
370,algorithms
189,data structures
186,algorithms
373,OOP
306,data structures
129,OOP
214,commenting
463,testing
359,data structures
352,commenting
236,algorithms
200,algorithms
109,algorithms
180,commenting
401,algorithms
235,commenting
73,front-end
237,testing
146,algorithms
355,data structures
467,algorithms
158,front-end
350,testing
96,testing
119,commenting
18,algorithms
379,commenting
172,OOP
225,algorithms
365,OOP
197,commenting
361,algorithms
396,OOP
279,front-end
20,OOP
224,commenting
389,testing
247,testing
256,commenting
455,OOP
42,OOP
419,front-end
192,commenting
208,data structures
407,data structures
495,OOP
443,commenting
355,algorithms
1,commenting
429,algorithms
410,commenting
96,algorithms
65,data structures
83,algorithms
97,front-end
491,OOP
300,testing
58,front-end
175,testing
338,OOP
163,data structures
394,data structures
119,algorithms
359,commenting
494,algorithms
201,algorithms
373,data structures
469,algorithms
468,data structures
344,testing
226,commenting
443,data structures
148,testing
427,algorithms
178,algorithms
74,data structures
143,OOP
11,testing
111,testing
499,data structures
332,data structures
469,front-end
137,data structures
39,data structures
13,algorithms
180,algorithms
493,algorithms
146,front-end
414,OOP
150,data structures
465,OOP
264,OOP
293,front-end
174,testing
80,testing
247,algorithms
4,data structures
386,commenting
459,OOP
442,testing
411,algorithms
380,OOP
256,algorithms
73,commenting
365,testing
361,testing
299,OOP
483,data structures
107,algorithms
8,commenting
52,data structures
78,front-end
245,OOP
134,testing
490,front-end
114,OOP
263,algorithms
500,front-end
175,algorithms
432,data structures
84,OOP
426,front-end
15,front-end
471,algorithms
242,front-end
108,OOP
210,testing
475,commenting
485,algorithms
142,OOP
15,commenting
157,data structures
284,data structures
114,front-end
361,commenting
79,testing
291,testing
439,OOP
31,data structures
285,data structures
312,algorithms
428,front-end
453,data structures
411,front-end
66,algorithms
345,front-end
467,testing
238,data structures
167,commenting
472,commenting
96,data structures
209,commenting
429,data structures
220,OOP
223,data structures
284,algorithms
254,front-end
314,algorithms
351,front-end
376,data structures
152,data structures
181,commenting
75,algorithms
488,testing
493,testing
169,front-end
67,front-end
93,algorithms
141,testing
159,commenting
472,data structures
305,testing
117,OOP
393,data structures
139,OOP
441,front-end
109,testing
259,commenting
68,algorithms
184,data structures
220,data structures
349,OOP
399,commenting
319,OOP
141,data structures
167,front-end
412,algorithms
296,OOP
187,OOP
464,algorithms
173,algorithms
135,front-end
27,data structures
400,front-end
397,front-end
154,algorithms
173,commenting
30,data structures
17,commenting
303,commenting
447,front-end
90,front-end
396,front-end
475,front-end
478,data structures
443,testing
334,front-end
309,testing
161,front-end
144,OOP
228,data structures
187,front-end
339,front-end
228,algorithms
57,data structures
291,algorithms
356,data structures
456,commenting
118,front-end
69,data structures
382,algorithms
313,testing
283,testing
14,algorithms
281,front-end
412,front-end
329,commenting
372,data structures
406,front-end
25,OOP
181,testing
299,data structures
378,algorithms
423,data structures
456,data structures
185,OOP
326,algorithms
330,OOP
292,data structures
259,front-end
82,data structures
441,OOP
340,data structures
160,testing
194,algorithms
181,front-end
314,commenting
21,commenting
145,testing
64,OOP
493,commenting
141,commenting
323,OOP
333,front-end
362,OOP
246,commenting
108,data structures
79,commenting
163,OOP
352,algorithms
231,OOP
164,algorithms
492,OOP
223,OOP
82,commenting
105,front-end
79,data structures
294,OOP
8,OOP
190,front-end
155,commenting
104,OOP
164,data structures
286,testing
343,data structures
357,testing
108,algorithms
354,commenting
259,data structures
432,front-end
265,testing
128,testing
344,commenting
193,testing
123,algorithms
287,front-end
293,testing
284,commenting
174,OOP
257,front-end
1,OOP
358,OOP
67,testing
30,commenting
94,testing
258,front-end
260,front-end
446,data structures
350,algorithms
401,OOP
229,front-end
334,data structures
385,front-end
41,OOP
274,algorithms
59,front-end
204,testing
320,commenting
305,data structures
348,algorithms
408,OOP
264,front-end
64,commenting
330,algorithms
461,front-end
239,front-end
415,front-end
458,commenting
145,commenting
360,front-end
440,testing
486,algorithms
301,algorithms
487,algorithms
111,commenting
55,front-end
298,front-end
418,algorithms
240,OOP
305,front-end
466,front-end
249,testing
175,front-end
4,front-end
444,front-end
439,commenting
40,algorithms
280,data structures
452,front-end
2,algorithms
479,OOP
363,data structures
162,front-end
317,OOP
7,OOP
399,algorithms
404,OOP
243,algorithms
145,front-end
23,commenting
203,front-end
377,commenting
98,OOP
385,data structures
408,data structures
70,front-end
333,algorithms
485,front-end
372,OOP
17,testing
369,OOP
342,OOP
444,commenting
227,data structures
157,testing
138,data structures
476,front-end
450,data structures
424,commenting
304,commenting
376,algorithms
170,testing
126,testing
297,data structures
28,commenting
476,OOP
464,front-end
380,commenting
133,testing
320,OOP
311,data structures
136,testing
46,data structures
45,commenting
131,testing
482,OOP
398,testing
255,commenting
203,commenting
272,testing
38,testing
276,algorithms
128,data structures
487,commenting
322,commenting
338,data structures
309,front-end
73,testing
287,OOP
23,OOP
63,testing
486,data structures
200,commenting
129,data structures
363,commenting
450,front-end
489,testing
60,commenting
271,data structures
19,algorithms
281,commenting
158,OOP
220,commenting
482,front-end
150,front-end
34,data structures
456,algorithms
159,testing
420,OOP
5,OOP
254,algorithms
25,testing
109,front-end
44,commenting
221,algorithms
393,testing
460,front-end
195,front-end
445,testing
252,front-end
497,testing
247,data structures
3,commenting
364,OOP
215,commenting
296,commenting
347,algorithms
280,front-end
122,testing
178,front-end
234,front-end
53,testing
270,data structures
482,testing
473,algorithms
216,commenting
64,front-end
349,data structures
316,testing
153,testing
76,front-end
454,data structures
331,data structures
434,commenting
185,commenting
129,testing
144,commenting
426,OOP
110,OOP
170,algorithms
13,commenting
423,algorithms
95,testing
343,OOP
345,testing
2,commenting
77,commenting
335,algorithms
122,front-end
176,OOP
43,data structures
388,testing
433,commenting
409,testing
277,algorithms
71,data structures
100,algorithms
203,OOP
263,OOP
327,OOP
438,OOP
237,front-end
308,OOP
46,OOP
268,data structures
423,testing
484,front-end
479,testing
206,front-end
77,data structures
143,data structures
417,testing
132,algorithms
479,data structures
24,testing
282,commenting
316,algorithms
346,algorithms
296,algorithms
225,data structures
389,data structures
21,testing
494,front-end
300,commenting
55,commenting
344,OOP
221,OOP
315,algorithms
172,front-end
260,OOP
451,data structures
468,commenting
89,commenting
265,front-end
330,commenting
250,OOP
470,algorithms
74,commenting
148,OOP
127,OOP
91,testing
11,algorithms
337,commenting
205,algorithms
62,algorithms
98,front-end
140,commenting
199,data structures
395,OOP
26,front-end
251,commenting
40,OOP
290,algorithms
480,OOP
390,testing
405,testing
75,testing
416,algorithms
81,algorithms
134,commenting
186,data structures
3,front-end
154,data structures
381,data structures
373,front-end
57,OOP
169,OOP
369,commenting
149,data structures
409,data structures
357,commenting
257,data structures
457,front-end
147,commenting
452,data structures
169,commenting
328,front-end
121,OOP
85,data structures
229,algorithms
161,data structures
46,front-end
92,OOP
83,testing
445,data structures
333,data structures
12,algorithms
463,algorithms
54,testing
327,commenting
67,data structures
115,algorithms
208,OOP
410,data structures
486,front-end
165,testing
380,algorithms
10,data structures
65,testing
152,OOP
302,data structures
308,algorithms
4,testing
163,commenting
397,testing
253,front-end
90,data structures
430,testing
326,testing
113,front-end
400,testing
321,commenting
442,front-end
481,testing
106,commenting
342,data structures
68,OOP
285,testing
388,OOP
34,commenting
495,data structures
45,front-end
326,commenting
403,OOP
404,testing
128,front-end
368,algorithms
91,algorithms
392,algorithms
413,testing
241,testing
394,front-end
70,commenting
414,data structures
97,commenting
425,testing
13,testing
405,front-end
436,commenting
250,commenting
421,algorithms
116,algorithms
351,OOP
295,OOP
332,OOP
495,commenting
318,commenting
23,algorithms
447,testing
319,algorithms
37,testing
167,testing
375,testing
191,OOP
26,commenting
340,testing
227,OOP
48,testing
294,testing
6,algorithms
290,OOP
413,front-end
351,testing
278,front-end
86,algorithms
201,testing
252,data structures
464,OOP
261,OOP
2,OOP
279,testing
58,data structures
341,testing
356,front-end
461,testing
354,OOP
59,OOP
68,testing
44,OOP
97,algorithms
379,algorithms
154,front-end
147,algorithms
75,OOP
237,data structures
226,OOP
405,data structures
267,testing
182,OOP
204,algorithms
241,data structures
130,OOP
489,algorithms
418,front-end
460,OOP
368,front-end
336,OOP
357,front-end
455,commenting
100,front-end
36,commenting
184,commenting
273,testing
140,testing
318,data structures
116,commenting
334,algorithms
366,commenting
238,commenting
11,front-end
66,commenting
367,OOP
496,front-end
112,front-end
125,testing
171,testing
275,testing
72,algorithms
198,testing
317,front-end
404,algorithms
14,data structures
196,commenting
314,OOP
211,data structures
436,algorithms
63,commenting
498,commenting
48,commenting
280,commenting
183,algorithms
500,commenting
138,front-end
215,data structures
273,commenting
488,algorithms
16,commenting
355,testing
297,testing
457,algorithms
174,algorithms
206,testing
264,testing
277,testing
347,OOP
125,front-end
483,commenting
401,testing
162,commenting
480,testing
398,OOP
303,data structures
403,commenting
490,data structures
218,OOP
261,commenting
133,algorithms
490,testing
233,OOP
88,commenting
98,algorithms
146,data structures
402,data structures
211,OOP
231,algorithms
328,testing
319,testing
121,testing
78,testing
242,testing
266,OOP
374,testing
272,algorithms
176,front-end
406,data structures
437,commenting
69,front-end
337,testing
496,algorithms
10,testing
422,front-end
100,OOP
378,commenting
323,commenting
182,algorithms
102,algorithms
425,OOP
211,algorithms
216,data structures
223,algorithms
217,front-end
24,OOP
448,front-end
89,algorithms
262,front-end
101,data structures
207,algorithms
191,testing
196,testing
80,algorithms
32,algorithms
408,algorithms
265,algorithms
183,testing
47,OOP
435,testing
304,algorithms
348,commenting
410,algorithms
94,commenting
35,commenting
93,commenting
33,front-end
365,commenting
301,testing
292,algorithms
463,front-end
364,testing
474,commenting
60,front-end
31,commenting
477,front-end
216,algorithms
80,commenting
366,front-end
112,testing
87,front-end
303,OOP
419,data structures
248,front-end
89,testing
29,data structures
254,testing
310,data structures
233,algorithms
25,front-end
367,data structures
111,OOP
7,commenting
371,testing
16,data structures
32,OOP
366,algorithms
151,commenting
368,OOP
360,algorithms
283,algorithms
371,commenting
325,data structures
419,testing
232,testing
327,data structures
250,front-end
38,front-end
391,data structures
328,data structures
